No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings,Target Price,IPO Date
1238,DDE,"Dover Downs Gaming & Entertainment, Inc.",Services,Gaming Activities,USA,33.80M,42.92,-,-,0.19,0.29,2.89,4.45,-,0.00%,0.02,-58.30%,-,-32.10%,-,-5.30%,-137.70%,-4.10%,32.82M,16.20M,4.10%,0.00%,39.90%,-22.11%,0.03%,0.11,0.50%,0.70%,1.20%,0.60,0.50,0.00,0.22,17.90%,1.20%,0.40%,0.00%,-0.96%,-1.90%,-10.43%,-5.50%,0.00%,-0.41,0.03,3.04%,2.21%,-0.63%,-1.91%,-2.98%,-11.97%,1.98%,-14.88%,11.96%,47.85,1.98%,-1.94%,3.00,37.00K,1.43,1.03,0.00%,"52,800",Apr 27/b,1.00,
1237,DDD,3D Systems Corporation,Technology,Computer Peripherals,USA,1.79B,-,25.49,-,2.82,2.79,9.66,45.55,-,-,-0.34,94.10%,18.29%,-22.40%,10.00%,22.40%,100.90%,-9.50%,112.79M,107.63M,1.60%,-0.22%,50.90%,-0.05%,21.80%,11.96,-4.40%,-5.90%,-5.90%,3.30,2.50,0.01,0.01,48.90%,-6.10%,-6.10%,4.42%,6.24%,-4.12%,11.09%,-11.91%,19.11%,1.10,0.43,2.17%,2.78%,5.85%,4.95%,4.47%,-10.46%,15.97%,-16.29%,36.58%,65.09,0.00%,-0.13%,3.20,1.96M,0.60,15.83,-0.13%,"1,186,014",May 03/a,15.05,
1236,DDC,Dominion Diamond Corporation,Basic Materials,Nonmetallic Mineral Mining,Canada,1.02B,3040.00,9.95,88.63,1.80,0.83,7.53,-,3.29%,-,0.00,100.60%,28.50%,-59.30%,34.30%,14.50%,120.40%,-27.10%,84.29M,80.41M,1.00%,0.00%,66.80%,-3.27%,0.49%,0.64,0.00%,0.00%,-2.30%,3.50,1.10,0.00,0.01,4.60%,-9.90%,0.00%,0.16%,-4.48%,20.75%,38.81%,8.58%,25.62%,0.49,0.27,1.91%,2.03%,-3.08%,10.79%,26.25%,-8.64%,46.68%,-8.64%,56.95%,55.65,-0.90%,0.49%,1.80,614.65K,1.97,12.16,-0.41%,"1,213,062",Apr 12/a,14.36,
1235,DD,E. I. du Pont de Nemours and Company,Basic Materials,Agricultural Chemicals,USA,69.18B,27.97,19.90,4.12,2.79,7.09,11.59,73.13,1.91%,53.00%,2.85,36.40%,8.83%,-3.40%,6.79%,-6.10%,209.20%,-1.40%,867.42M,861.99M,0.10%,-4.92%,72.30%,0.13%,0.64%,2.02,6.00%,25.30%,13.00%,1.90,1.30,0.83,0.87,41.60%,12.50%,10.10%,1.40%,-2.59%,3.15%,17.33%,22.73%,9.19%,1.72,1.30,1.42%,1.27%,0.21%,-0.02%,9.77%,-3.18%,3.83%,-3.18%,32.57%,50.30,-0.56%,0.09%,2.20,2.74M,0.71,79.75,-0.47%,"1,959,594",Apr 25/b,86.13,
1234,DCTH,"Delcath Systems, Inc.",Healthcare,Drug Delivery,USA,6.79M,-,-,-,3.39,-,1.54,-,-,-,-9.97,27.20%,-,42.90%,15.00%,-,2.60%,75.00%,115.00M,113.32M,0.10%,0.00%,0.50%,-,3.60%,0.39,-57.00%,-441.40%,-139.30%,0.90,0.90,-,-,72.40%,-,-,-3.44%,-31.79%,-84.27%,-97.22%,-99.93%,-93.59%,1.71,0.01,5.96%,11.31%,-14.73%,-43.44%,-98.49%,-75.26%,12.38%,-99.95%,12.38%,31.63,-3.28%,2.18%,2.00,10.32M,0.87,0.06,-1.17%,"8,980,114",May 03/b,16.00,
1233,DCT,DCT Industrial Trust Inc.,Financial,REIT - Industrial,USA,4.64B,49.18,78.39,-,11.81,2.47,450.52,-,2.45%,142.50%,1.03,-2.70%,13.96%,29.10%,-,12.70%,-50.60%,14.40%,91.78M,91.63M,0.10%,-29.10%,-,0.01%,2.66%,4.66,2.50%,5.10%,3.10%,-,-,0.87,0.87,75.40%,27.50%,23.50%,-0.45%,7.19%,12.25%,9.89%,27.73%,6.30%,0.92,0.70,1.44%,1.37%,1.01%,5.03%,7.63%,-2.21%,11.93%,-2.21%,29.90%,59.59,-0.84%,-0.16%,2.40,523.56K,0.75,50.56,-1.00%,"393,955",May 04/a,49.75,
1232,DCP,"DCP Midstream, LP",Basic Materials,Oil & Gas Pipelines,USA,5.40B,23.12,21.27,11.56,3.61,1.68,5403.87,98.25,8.23%,190.40%,1.64,80.60%,37.11%,-1.00%,2.00%,-16.60%,-25.50%,-8.50%,142.62M,90.46M,36.80%,-,57.00%,0.04%,3.82%,9.99,3.60%,7.10%,4.10%,0.30,0.20,0.68,0.87,36.80%,13.20%,12.60%,0.64%,-2.85%,-3.38%,14.37%,27.53%,0.67%,2.11,0.74,1.87%,1.93%,-1.63%,-1.94%,7.36%,-10.74%,3.13%,-10.74%,30.46%,43.55,-1.79%,0.49%,2.80,346.00K,0.82,37.89,-1.30%,"284,171",Mar 29/b,40.94,
1231,DCOM,"Dime Community Bancshares, Inc.",Financial,Savings & Loans,USA,718.68M,9.88,12.83,7.90,3.67,1.26,4.36,-,2.88%,28.40%,1.97,60.30%,15.37%,7.10%,1.25%,-1.30%,-93.80%,15.40%,36.95M,31.63M,3.60%,-1.49%,71.00%,-0.16%,2.14%,4.10,1.30%,13.10%,12.60%,-,-,0.12,0.12,-,72.30%,37.00%,-4.42%,-2.51%,-10.80%,16.84%,13.12%,-2.59%,0.75,0.57,3.78%,2.50%,-3.96%,-6.07%,3.57%,-11.99%,0.52%,-12.91%,22.65%,38.55,-3.71%,0.00%,2.80,164.95K,1.51,19.45,-3.71%,"249,311",Apr 27/b,21.70,
1230,DCO,Ducommun Incorporated,Industrial Goods,Aerospace/Defense Products & Services,USA,322.70M,13.12,14.64,43.74,0.59,1.55,43.61,12.27,-,0.00%,2.24,133.00%,37.84%,20.10%,0.30%,-1.10%,104.20%,-9.00%,10.98M,10.28M,6.20%,-0.24%,85.60%,-0.28%,2.65%,2.93,4.90%,12.20%,8.80%,2.60,1.20,0.79,0.79,19.30%,8.40%,4.60%,-0.20%,2.98%,0.27%,50.33%,80.86%,14.98%,1.19,1.05,3.57%,3.21%,0.71%,-0.33%,15.22%,-12.66%,11.07%,-12.66%,89.25%,49.08,-2.55%,0.03%,1.80,93.09K,0.81,29.39,-2.52%,"75,836",Jun 05/a,33.10,
1229,DCM,"NTT DOCOMO, Inc.",Technology,Diversified Communication Services,Japan,94.64B,15.30,14.29,1.05,2.23,1.80,7.73,27.91,2.97%,43.50%,1.58,39.10%,8.65%,3.70%,14.60%,1.40%,9.70%,1.10%,3.91B,1.48B,66.50%,0.00%,0.50%,0.16%,0.02%,1.14,9.00%,12.00%,10.30%,2.40,2.30,0.04,0.04,60.80%,20.40%,14.00%,1.21%,1.68%,1.42%,-2.02%,0.08%,6.46%,0.24,0.31,1.03%,0.70%,2.25%,1.91%,-0.79%,-1.50%,4.85%,-14.81%,10.29%,57.55,0.79%,1.22%,3.00,207.33K,1.58,24.22,2.02%,"327,188",Apr 27/b,24.74,
1228,DCIX,Diana Containerships Inc.,Services,Shipping,Greece,4.91M,-,-,-,0.15,0.05,0.59,-,-,-,-16.27,-746.20%,39.70%,-60.90%,10.00%,4.20%,4.60%,-63.80%,9.82M,6.19M,-,-,4.50%,-,23.86%,1.77,-43.20%,-91.80%,-53.90%,0.20,0.20,0.50,1.90,-0.60%,-,-,-18.03%,-65.75%,-79.25%,-80.00%,-93.17%,-82.01%,1.97,0.14,10.96%,14.98%,-36.00%,-71.08%,-82.96%,-83.33%,-3.85%,-98.09%,-3.85%,19.76,-9.09%,0.02%,5.00,833.17K,0.35,0.50,-9.07%,"292,088",May 15/b,8.00,
1227,DCI,"Donaldson Company, Inc.",Industrial Goods,Diversified Machinery,USA,6.15B,28.50,25.19,2.97,2.71,7.92,-,31.75,1.51%,42.40%,1.62,-5.20%,11.13%,-0.20%,9.60%,-0.70%,22.40%,6.50%,132.90M,131.01M,0.30%,-3.64%,81.60%,-0.03%,3.36%,8.26,12.10%,28.00%,15.60%,1.70,1.20,0.38,0.74,34.90%,13.70%,9.60%,1.60%,2.21%,8.51%,28.32%,43.61%,10.44%,0.99,0.75,1.45%,1.52%,2.08%,3.57%,15.04%,-2.94%,10.96%,-2.94%,49.45%,57.01,-0.88%,0.15%,2.50,533.10K,1.68,46.28,-0.73%,"897,951",May 31/b,14.52,
1226,DBVT,DBV TECHNOLOGIES S.A.,Healthcare,Diagnostic Substances,France,870.71M,-,-,-,108.64,6.74,-,-,-,-,-2.49,-,-,-,25.85%,-,-,3.20%,24.65M,-,3.78%,0.00%,25.70%,17.40%,-,4.66,-,-,-,-,-,-,-,-,-,-,8.31%,2.11%,-0.70%,-2.30%,3.06%,0.57%,-,0.73,1.43%,1.57%,4.95%,1.17%,0.46%,-5.81%,10.86%,-6.98%,30.76%,60.74,-0.76%,1.66%,1.60,75.37K,0.49,35.33,0.89%,"36,824",Mar 15/b,51.76,
1225,DBD,"Diebold Nixdorf, Incorporated",Technology,Diversified Computer Systems,USA,2.13B,-,12.20,-,0.64,3.60,2.97,-,1.42%,-,-2.43,-390.20%,46.64%,-25.80%,15.00%,3.20%,-507.20%,255.80%,75.40M,74.54M,0.40%,0.00%,95.20%,0.70%,11.59%,8.81,-0.80%,-5.30%,-3.90%,1.40,1.00,2.86,3.04,22.50%,-4.80%,-1.00%,1.81%,-6.78%,4.41%,23.56%,8.86%,12.50%,1.85,0.78,2.35%,2.74%,-2.47%,-4.47%,7.40%,-11.46%,2.36%,-11.46%,35.00%,42.11,-1.57%,0.00%,2.00,980.54K,0.63,28.20,-1.57%,"615,449",May 04/b,34.50,
1224,DB,Deutsche Bank AG,Financial,Foreign Regional Banks,Germany,36.81B,-,10.85,-,1.34,0.41,0.07,0.49,1.11%,-,-1.16,76.10%,55.61%,-18.10%,14.46%,-5.70%,11.30%,10.30%,2.04B,1.71B,2.70%,0.00%,-,-,2.47%,5.42,-0.10%,-2.50%,3.70%,-,-,2.93,2.93,-,52.00%,-6.50%,9.52%,3.67%,-11.68%,24.11%,-7.14%,-0.17%,1.37,0.47,1.46%,1.75%,7.17%,0.06%,10.64%,-12.75%,14.44%,-13.71%,61.48%,55.32,-0.55%,0.11%,4.00,7.76M,0.85,18.07,-0.44%,"6,600,219",Apr 27,14.07,
1223,DAVE,"Famous Dave's of America, Inc.",Services,Restaurants,USA,27.24M,-,-,-,0.27,1.39,6.05,-,-,-,-0.42,-374.30%,-,-21.20%,15.00%,-8.50%,-177.00%,-80.60%,6.81M,6.74M,1.70%,-84.79%,71.50%,-1.97%,5.21%,8.47,-4.40%,-11.20%,-6.40%,1.50,1.30,0.56,0.63,21.10%,-4.20%,-2.50%,2.56%,-0.74%,-27.27%,-20.79%,-32.43%,-19.19%,1.22,0.18,3.70%,4.43%,2.21%,-12.63%,-22.02%,-39.39%,6.67%,-40.56%,6.67%,41.62,-1.23%,-1.22%,3.00,41.40K,0.28,4.00,-2.44%,"11,721",Jun 05/a,6.00,
1222,DATA,"Tableau Software, Inc.",Technology,Application Software,USA,4.13B,-,319.52,-,4.99,5.18,4.54,36.13,-,-,-1.93,-64.60%,3260.00%,70.25%,30.00%,67.70%,51.40%,23.60%,76.93M,58.62M,1.70%,-23.54%,98.60%,0.84%,10.46%,5.27,-12.60%,-19.00%,-18.50%,2.70,2.70,0.00,0.00,88.00%,-16.90%,-17.50%,-0.76%,9.93%,11.51%,11.58%,8.71%,27.35%,0.84,0.98,1.78%,1.90%,4.01%,4.97%,6.24%,-3.56%,13.49%,-14.15%,29.63%,65.52,0.47%,-0.09%,2.50,1.16M,0.53,53.68,0.37%,"610,777",May 03/a,57.65,
1221,DAR,Darling Ingredients Inc.,Industrial Goods,Waste Management,USA,2.50B,24.44,18.87,8.15,0.74,1.26,21.80,16.93,-,0.00%,0.62,30.20%,32.13%,-15.80%,3.00%,13.60%,-52.00%,9.60%,165.09M,162.55M,1.20%,0.00%,98.10%,0.55%,1.81%,2.69,2.10%,5.20%,3.70%,2.00,1.20,0.88,0.89,22.30%,4.50%,3.00%,1.27%,4.42%,26.93%,11.33%,3.42%,17.20%,1.70,0.28,1.70%,1.83%,2.50%,6.56%,9.83%,-2.07%,21.53%,-5.02%,31.45%,60.72,-0.46%,0.07%,1.60,1.09M,0.71,15.13,-0.39%,"770,814",May 11/a,17.56,
1220,DAN,Dana Incorporated,Consumer Goods,Auto Parts,USA,2.79B,4.43,9.45,1.34,0.48,2.42,3.79,103.50,1.24%,5.40%,4.38,350.00%,15.19%,32.80%,3.30%,-5.00%,684.40%,5.20%,143.90M,143.66M,0.40%,-27.78%,99.50%,-0.13%,2.27%,2.22,13.80%,74.20%,26.20%,1.80,1.30,1.38,1.44,14.50%,5.40%,11.00%,4.69%,3.74%,-2.30%,29.08%,51.93%,2.64%,1.43,0.49,2.15%,2.45%,5.19%,3.20%,15.25%,-3.19%,10.78%,-5.52%,100.41%,60.50,-1.02%,-0.05%,2.60,1.47M,1.12,19.42,-1.07%,"1,651,660",May 02/b,20.75,
1219,DAL,"Delta Air Lines, Inc.",Services,Major Airlines,USA,33.08B,8.43,7.78,-,0.84,2.56,12.48,21.76,1.78%,13.70%,5.39,2.90%,13.66%,41.80%,-0.45%,2.50%,-32.00%,-1.10%,728.00M,723.85M,0.20%,-18.99%,88.80%,-0.07%,2.23%,1.85,7.90%,32.50%,23.90%,0.40,0.40,0.63,0.71,60.70%,16.40%,10.20%,-0.20%,-1.11%,-8.21%,10.70%,7.87%,-7.26%,0.91,1.00,1.83%,1.91%,-0.07%,-3.69%,2.90%,-12.40%,3.72%,-13.53%,41.36%,43.34,-1.00%,0.35%,2.00,8.71M,0.76,45.44,-0.66%,"6,585,024",Apr 12/b,-,
1218,DAKT,Daktronics Inc.,Technology,Computer Based Systems,USA,416.90M,64.35,22.36,3.22,0.72,2.09,5.46,7.55,2.96%,249.80%,0.15,-90.10%,56.67%,-32.70%,20.00%,5.20%,-162.00%,-6.50%,44.07M,35.69M,5.40%,-2.28%,53.60%,-0.21%,5.85%,13.85,1.80%,3.20%,0.70%,2.10,1.60,0.02,0.02,23.20%,1.70%,1.10%,3.28%,3.16%,-8.27%,11.57%,13.76%,-10.93%,1.48,0.20,2.30%,2.27%,2.99%,1.68%,3.85%,-5.82%,21.56%,-14.29%,65.83%,60.31,-0.53%,0.00%,2.00,150.68K,1.20,9.46,-0.53%,"180,803",May 23/b,12.25,
1217,DAIO,Data I/O Corporation,Technology,Diversified Electronics,USA,38.50M,23.76,-,-,1.65,2.40,3.32,42.77,-,0.00%,0.20,76.90%,-,12.30%,-,-2.60%,117.20%,28.00%,8.02M,6.79M,3.20%,0.00%,43.70%,-2.37%,0.10%,0.16,8.00%,10.80%,8.70%,3.30,2.70,0.00,0.00,55.00%,6.00%,7.10%,0.42%,-3.81%,10.85%,32.23%,115.25%,14.83%,0.94,0.18,3.72%,3.28%,-1.08%,-1.41%,17.83%,-9.43%,19.70%,-9.43%,131.88%,45.58,0.63%,-0.83%,1.00,42.02K,0.37,4.80,-0.21%,"15,456",May 04/a,2.64,
1216,DAC,Danaos Corporation,Services,Shipping,Greece,181.20M,-,1.93,-,0.36,0.38,2.46,0.69,-,-,-3.34,-412.90%,9.32%,26.24%,3.00%,1.30%,-,-21.80%,106.59M,19.58M,58.70%,0.00%,2.30%,-0.23%,1.58%,6.69,-10.40%,-45.30%,-7.10%,0.10,0.00,0.00,5.14,75.30%,-42.70%,-73.50%,0.00%,-2.86%,-35.85%,-34.87%,-57.92%,-35.85%,1.10,0.11,5.94%,6.37%,-1.59%,-12.51%,-39.09%,-37.04%,6.25%,-65.31%,6.25%,43.43,0.00%,-2.86%,3.00,46.37K,1.42,1.70,-2.86%,"65,885",May 23/a,3.00,
1215,D,"Dominion Resources, Inc.",Utilities,Electric Utilities,USA,48.63B,22.50,19.08,5.10,4.14,3.32,134.34,-,3.90%,81.30%,3.44,7.60%,10.87%,6.20%,4.41%,-3.10%,22.00%,20.70%,628.07M,626.02M,0.30%,-0.49%,66.80%,0.04%,3.33%,7.85,3.20%,15.00%,6.00%,0.50,0.30,2.07,2.40,98.10%,30.90%,18.10%,-0.14%,-0.31%,3.54%,6.89%,13.25%,2.09%,0.26,0.78,0.86%,0.96%,-0.35%,0.80%,4.24%,-2.43%,8.66%,-2.43%,17.07%,48.91,-0.30%,-0.04%,2.50,2.65M,0.76,77.43,-0.33%,"2,001,585",May 04/b,77.71,
1214,CZZ,Cosan Limited,Utilities,Diversified Utilities,Brazil,2.06B,20.51,5.68,2.41,0.52,1.02,1.12,1582.72,1.17%,22.50%,0.38,2.70%,23.34%,-22.20%,8.50%,22.40%,-82.10%,-17.00%,267.56M,165.82M,38.10%,0.00%,64.90%,8.07%,1.52%,1.84,0.70%,5.60%,11.60%,1.30,1.20,3.38,3.88,33.60%,28.90%,2.80%,-2.16%,-12.01%,-7.24%,-15.03%,44.45%,2.40%,2.31,0.26,2.93%,3.10%,-7.67%,-8.55%,-0.82%,-18.62%,2.26%,-19.05%,64.53%,36.87,2.26%,-0.27%,1.80,1.37M,1.02,7.69,1.99%,"1,392,127",May 10/a,10.61,
1213,CZWI,"Citizens Community Bancorp, Inc.",Financial,Regional - Midwest Banks,USA,74.32M,28.48,-,-,2.82,1.16,2.80,-,1.13%,24.10%,0.50,-8.90%,-,67.10%,-,-3.40%,12.50%,21.10%,5.23M,4.42M,3.70%,1.41%,33.80%,8.20%,0.41%,1.41,0.40%,4.20%,29.00%,-,-,0.00,0.00,-,79.80%,10.10%,0.78%,3.65%,12.33%,29.65%,57.89%,14.32%,0.23,0.21,1.22%,1.35%,1.14%,5.92%,20.29%,-0.91%,13.32%,-0.91%,57.36%,64.56,0.00%,0.00%,-,12.87K,0.10,14.21,0.00%,0,May 05/b,-,
1212,CZR,Caesars Entertainment Corporation,Services,Resorts & Casinos,USA,1.63B,-,45.31,-,0.42,-,1.08,4.43,-,-,-47.36,-221.40%,214.10%,-51.20%,-,-14.70%,-135.90%,140.90%,146.86M,83.54M,2.20%,-2.27%,66.30%,0.60%,22.09%,17.68,-26.20%,218.40%,-151.00%,0.60,0.60,-,-,54.60%,-,-92.10%,14.43%,18.09%,21.31%,55.24%,56.78%,30.59%,0.46,0.35,3.82%,3.36%,14.14%,16.62%,36.41%,0.63%,30.59%,0.63%,105.94%,81.35,0.45%,0.91%,2.00,1.04M,2.90,11.10,1.37%,"3,028,001",May 02/a,13.00,
1211,CZNC,Citizens & Northern Corporation,Financial,Regional - Mid-Atlantic Banks,USA,281.33M,17.88,14.53,-,6.38,1.51,8.50,48.50,4.47%,79.80%,1.30,-3.50%,22.14%,-7.50%,-,-6.40%,4.60%,0.90%,12.10M,11.79M,2.60%,0.59%,28.30%,-12.16%,2.30%,8.84,1.30%,8.30%,18.20%,-,-,0.00,0.00,-,88.60%,35.70%,-0.56%,0.69%,-6.63%,9.05%,15.16%,-11.26%,0.57,0.47,2.20%,1.92%,0.12%,-0.82%,0.83%,-5.43%,4.21%,-12.50%,17.60%,47.90,-0.43%,-0.09%,3.00,30.70K,0.85,23.25,-0.51%,"25,961",May 18,25.00,
1210,CZFC,Citizens First Corporation,Financial,Regional - Southeast Banks,USA,40.82M,13.80,-,-,2.26,1.15,1.90,-,0.79%,8.60%,1.46,22.50%,-,12.60%,-,0.70%,-3.80%,2.20%,2.02M,1.64M,31.44%,0.00%,37.10%,13.62%,0.00%,0.03,0.80%,10.80%,34.70%,-,-,0.14,0.14,-,86.90%,20.50%,9.01%,9.54%,15.16%,26.31%,47.49%,12.28%,0.29,0.35,2.25%,0.96%,7.14%,4.95%,18.04%,-1.75%,12.28%,-1.75%,46.56%,63.93,0.00%,0.00%,-,1.70K,0.36,20.21,0.00%,0,Apr 27,-,
1209,CYTX,"Cytori Therapeutics, Inc.",Healthcare,Biotechnology,USA,30.31M,-,-,-,2.66,1.94,2.41,-,-,-,-1.31,38.30%,46.30%,32.50%,-,2.60%,6.30%,-11.80%,29.43M,28.98M,-,-,10.90%,-,1.19%,0.49,-60.00%,-172.50%,-68.90%,1.50,1.20,1.00,1.60,76.10%,-,-,1.98%,-36.02%,-35.22%,-44.02%,-79.80%,-31.79%,2.99,0.09,6.26%,6.37%,-17.73%,-31.50%,-40.95%,-51.64%,5.10%,-80.93%,5.10%,34.02,-3.74%,0.00%,2.00,700.87K,0.34,1.03,-3.74%,"240,501",Mar 23/a,6.92,
1208,CYTR,CytRx Corporation,Healthcare,Biotechnology,USA,61.70M,-,-,-,308.51,2.31,1.08,-,-,-,-0.68,34.90%,18.00%,4.80%,-,-4.40%,76.00%,0.00%,121.27M,104.82M,2.00%,0.00%,20.80%,0.07%,9.74%,3.21,-77.90%,-199.90%,-114.40%,3.10,3.10,0.85,1.11,-,-,-,-16.59%,13.07%,24.10%,1.76%,-84.81%,37.51%,1.07,0.09,27.48%,12.46%,-3.41%,9.44%,0.92%,-48.61%,33.89%,-85.29%,41.33%,47.58,-6.98%,-20.11%,2.00,3.18M,8.09,0.51,-25.69%,"25,685,054",Mar 15/b,4.00,
1207,CYTK,"Cytokinetics, Incorporated",Healthcare,Biotechnology,USA,689.46M,49.85,-,3.32,6.48,7.04,4.41,19.48,-,0.00%,0.33,140.00%,13.80%,15.90%,15.00%,92.70%,169.70%,237.80%,42.04M,40.57M,1.00%,-1.32%,61.80%,-0.03%,6.73%,4.94,12.00%,23.00%,15.00%,4.80,4.80,0.29,0.32,-,17.50%,15.50%,15.09%,30.68%,53.99%,84.06%,98.55%,34.98%,1.71,0.82,7.71%,5.42%,25.64%,32.48%,47.30%,-4.65%,63.18%,-4.65%,128.41%,75.49,2.82%,-6.18%,1.70,552.46K,2.02,16.40,-3.53%,"1,114,449",Apr 27/a,20.14,
1206,CYS,"CYS Investments, Inc.",Financial,REIT - Diversified,USA,1.29B,-,9.09,-,4.52,1.03,2156.21,-,11.72%,-,-0.04,78.90%,-4.77%,-15.00%,-5.97%,4.80%,-,-10.10%,151.67M,149.72M,1.20%,-16.38%,71.80%,0.01%,3.02%,2.54,-,-,1.80%,-,-,0.00,7.15,73.60%,-,-,0.00%,7.43%,12.88%,4.49%,19.94%,13.90%,0.64,0.14,1.82%,1.66%,3.71%,8.54%,8.87%,-2.29%,18.03%,-2.29%,22.51%,64.31,-1.73%,-0.46%,3.30,1.78M,0.97,8.53,-2.18%,"1,729,532",Apr 19/a,7.83,
1205,CYRX,"Cryoport, Inc.",Consumer Goods,Packaging & Containers,USA,53.36M,-,-,-,6.93,7.09,11.86,-,-,-,-0.94,15.80%,-,18.10%,-,65.40%,38.80%,46.70%,22.14M,22.11M,0.20%,-,1.60%,-,0.37%,0.42,-191.00%,-300.40%,-213.30%,2.70,2.70,0.00,0.12,40.40%,-,-,-0.82%,16.43%,-28.27%,7.11%,-0.41%,-25.62%,0.11,0.19,5.35%,6.14%,5.24%,-18.49%,-5.84%,-40.79%,22.96%,-40.79%,60.67%,42.79,0.00%,0.00%,2.00,191.89K,0.27,2.41,0.00%,"51,528",Mar 13/a,3.50,
1204,CYRN,CYREN Ltd.,Technology,Security Software & Services,USA,82.28M,-,-,-,2.65,2.53,7.76,58.77,-,-,-0.14,2.80%,70.60%,-22.20%,20.00%,6.10%,-74.70%,14.10%,39.18M,33.35M,5.30%,0.00%,40.80%,0.08%,0.54%,4.69,-10.40%,-15.10%,-15.90%,1.30,1.30,0.00,0.00,69.00%,-16.60%,-17.20%,5.00%,8.57%,2.44%,-8.70%,24.26%,-2.33%,0.62,0.08,3.50%,3.83%,3.83%,3.02%,-2.44%,-6.67%,10.53%,-19.15%,28.83%,58.98,2.44%,0.00%,2.00,38.25K,1.22,2.10,2.44%,"46,685",May 23/b,3.50,
1203,CYOU,Changyou.com Limited,Technology,Multimedia & Graphics Software,China,1.71B,11.96,9.28,-,3.25,1.53,2.05,-,-,0.00%,2.73,-32.20%,5.14%,-9.90%,-5.80%,1.60%,7.90%,-19.40%,52.28M,10.26M,82.80%,0.00%,76.70%,0.22%,4.13%,2.06,8.90%,13.30%,9.80%,2.80,2.80,0.00,0.00,68.40%,24.90%,27.60%,6.91%,13.53%,31.92%,20.97%,63.33%,53.86%,1.19,1.21,5.43%,3.80%,15.68%,14.93%,28.62%,-0.70%,33.32%,-0.70%,87.32%,70.57,1.94%,0.09%,3.00,205.66K,2.62,32.65,2.03%,"539,217",Apr 24/b,27.94,
1202,CYH,"Community Health Systems, Inc.",Healthcare,Hospitals,USA,1.01B,-,7.79,-,0.05,0.59,4.23,2.56,-,-,-15.39,15.20%,110.08%,-49.10%,6.62%,6.20%,-190.20%,-6.90%,116.89M,110.04M,3.10%,-0.05%,99.20%,-0.14%,19.86%,5.31,-7.40%,-73.80%,-4.70%,1.60,1.40,9.16,9.44,83.70%,-4.80%,-9.30%,4.49%,-2.27%,30.85%,-14.16%,-56.91%,54.03%,1.79,0.43,4.92%,4.39%,-1.11%,-3.20%,-0.37%,-14.84%,30.26%,-59.73%,107.47%,47.64,2.38%,-0.24%,3.10,4.12M,0.73,8.61,2.14%,"3,010,250",May 01/a,8.88,
1201,CYD,China Yuchai International Limited,Industrial Goods,Diversified Machinery,Singapore,757.38M,10.39,-,1.04,0.38,0.72,-,-,4.38%,45.90%,1.87,46.30%,-,-10.10%,10.00%,-2.40%,269.00%,27.70%,39.04M,17.32M,49.70%,0.00%,22.50%,-0.40%,0.25%,0.46,-,-,-,-,-,-,-,21.70%,7.10%,3.80%,10.04%,8.20%,39.77%,74.77%,103.34%,40.48%,0.82,0.61,3.20%,3.17%,7.20%,12.76%,45.52%,1.31%,43.17%,1.31%,112.20%,66.77,3.52%,-0.05%,3.00,92.46K,1.31,19.40,3.47%,"121,129",May 24/b,13.00,
1200,CYCC,"Cyclacel Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,22.79M,-,-,-,28.49,1.61,1.38,-,-,-,-3.59,34.70%,30.20%,-10.40%,-,-,42.30%,-25.00%,4.22M,3.77M,17.53%,22.16%,20.60%,29.88%,11.16%,0.51,-58.00%,-79.60%,-85.10%,3.70,3.70,0.00,0.00,-,-,-,5.68%,56.52%,11.34%,23.57%,7.14%,2.08%,2.74,0.62,6.52%,14.54%,-5.29%,15.59%,9.49%,-50.46%,72.52%,-50.46%,77.05%,53.44,0.00%,-0.74%,2.00,823.77K,0.03,5.40,-0.74%,"26,060",Mar 28/a,7.00,
1199,CYBR,CyberArk Software Ltd.,Technology,Business Software & Services,Israel,1.83B,67.32,33.89,4.01,8.46,6.10,6.66,34.24,-,0.00%,0.79,7.50%,25.68%,61.20%,16.77%,42.90%,2.40%,25.00%,34.62M,32.13M,-,-,76.00%,1.93%,4.49%,3.13,7.60%,10.20%,9.40%,4.00,4.00,0.00,0.00,86.10%,16.60%,13.00%,1.99%,5.50%,2.50%,15.10%,33.68%,16.29%,-,1.16,2.01%,1.97%,1.39%,3.46%,3.48%,-2.54%,11.13%,-10.75%,38.51%,56.21,-1.29%,-0.58%,1.90,460.57K,0.68,52.91,-1.85%,"314,028",May 11/a,60.58,
